[10677, 9591]
[17015, 17015]
[15419, 624]
[7689, 20511]
[16953, 12016]
[1149, 6934]
[15683, 21824]
[20532, 16674]
[19184, 25225]
[10588, 14599]
[19179, 7689]
[7689, 15880]
[11944, 21469]
[16414, 12130]
[17950, 15353]
[21048, 5346]
[16014, 8372]
[6350, 6350]
[7088, 7546]
[7088, 7088]
[1008, 11824]
[9306, 4515]
[23514, 21861]
[45, 23552]
[3593, 14265]
[22598, 6700]
[17751, 18095]
[14265, 22601]
[13174, 17379]
[20716, 7689]
[2655, 1854]
[14485, 7689]
[1311, 1685]
[21075, 8457]
[25359, 5067]
[20532, 9785]
[11445, 22601]
[20716, 20511]
[23723, 5210]
[24371, 4353]
[10341, 6648]
[6648, 6648]
[18365, 888]
[2654, 20511]
[12553, 21508]
[45, 25006]
[22245, 5995]
[3345, 12365]
[9126, 24753]
[16389, 3096]
[12307, 14175]
[12307, 12307]
[10601, 24110]
[15880, 7383]
[13318, 25043]
[21910, 18971]
[3280, 4511]
[17655, 12365]
[2949, 2710]
[13801, 11696]
[25080, 25910]
[12545, 6610]
[8711, 5083]
[5083, 5083]
[25180, 13469]
[1000, 10762]
[4301, 16471]
[6158, 12874]
[10438, 20558]
[13992, 13992]
[17580, 15562]
[5052, 24293]
[17006, 7885]
[19551, 19551]
[6774, 23452]
[18952, 231]
[16967, 23134]
[12545, 18208]
[17285, 11661]
[5807, 10096]
[19423, 2212]
[11275, 45]
[23506, 18314]
[1608, 21508]
[5409, 8623]
[5409, 5409]
[21943, 13813]
[24924, 3096]
[17729, 10004]
[10791, 14485]
[18159, 2797]
[15971, 4765]
[18685, 22083]
[11785, 23967]
[9959, 20914]
[6008, 6008]
[12980, 23382]
[16389, 22082]
[23219, 12927]
[12927, 2710]
[2049, 9090]
[20511, 22691]
[3502, 9993]
[23038, 12545]
[17189, 25904]
[25931, 5346]
[6218, 3716]
[6218, 15793]
[24250, 2666]
[10872, 10872]
[7506, 5225]
[10476, 24097]
[17794, 3677]
[14599, 14485]
[21998, 11583]
[16368, 16013]
[6229, 6423]
[6229, 6229]
[376, 16620]
[2611, 2611]
[17827, 18013]
[7985, 17559]
[18399, 6154]
[14003, 15244]
[1405, 8807]
[1588, 7712]
[23506, 7985]
[14377, 15300]
[11502, 22285]
[17655, 17612]
[22574, 18158]
[14485, 7689]
[18943, 18143]
[1074, 5901]
[2334, 17587]
[17587, 17587]
[23943, 22598]
[22598, 24696]
[25234, 2870]
[14485, 16389]
[21615, 23896]
[17932, 18051]
[10427, 24819]
[18952, 7013]
[25875, 2303]
[7878, 11231]
[4493, 930]
[1310, 23186]
[7103, 5510]
[12365, 14485]
[17850, 18487]
[15814, 18487]
[20229, 9432]
[15552, 6700]
[24718, 19093]
[13276, 11861]
[23991, 2761]
[16389, 7689]
[24122, 24924]
[4416, 24924]
[20003, 21718]
[6408, 11801]
[10539, 3099]
[12491, 12074]
[18649, 1074]
[1074, 5107]
[8156, 15585]
[17655, 18971]
[9639, 4705]
[19640, 25948]
[21018, 5479]
[21018, 21018]
[24696, 9216]
[13801, 1958]
[23772, 735]
[23772, 23772]
[8731, 2984]
[10564, 10564]
[1008, 593]
[12334, 17932]
[17089, 19469, 13624]
[3096, 14599, 9241]
[15400, 15846, 950]
[20511, 3593, 21508]
[14051, 8523, 13196]
[5107, 3265, 18736]
[15150, 2295, 13673]
[15395, 13276, 17731]
[3655, 6388, 3055]
[18782, 896, 22790]
[9634, 6023, 3721]
[17721, 22275, 17536]
[21178, 9313, 5210]
[21831, 88, 1488]
[9800, 4511, 12496]
[1685, 26, 6179]
[3345, 10824, 19107]
[2710, 9572, 9482]
[2316, 17191, 24559]
[16148, 25006, 7712]
[12287, 21968, 15959]
[22046, 7307, 21012]
[16946, 8116, 24057]
[14369, 25758, 12306]
[17994, 25172, 16415]
[12040, 7045, 13801]
[8195, 15258, 12927]
[14485, 16389, 10310]
[7206, 2115, 7899]
[16389, 20716, 23681]
